switch_name;bus;element;closed;type
MV_S2_Bus6;6;Line 6-7;True;LBS
MV_S2_Bus7;7;Line 6-7;False;LBS
MV_S3_Bus4;4;Line 4-11;False;LBS
MV_S3_Bus11;11;Line 4-11;True;LBS
MV_S1_Bus8;8;Line 8-14;False;LBS
MV_S1_Bus14;14;Line 8-14;True;LBS
