MV_Line 1-2 (Scheduled);MV_Line 2-3 (Scheduled)
58.30945477310681;51.10806828856097
55.76056325621727;48.88482033422248
53.736159153055915;47.152462589122784
51.64562620615006;45.36216124185631
50.23721836064938;44.20951217438983
48.93902205194561;43.10462754776256
47.32761406874389;41.70732730200519
45.61251531769554;40.21584037207817
44.47534227613776;39.20982835802754
43.898203086596695;38.728651493113134
43.369059090643425;38.2924797266669
42.8281458741782;37.78637673844341
42.09519605255917;37.16452363945624
41.87597119764065;36.964122605118895
41.14290521947095;36.34583002987111
41.158159176099346;36.3596673939602
40.55393884802135;35.795818342754885
41.07568724628898;36.270552055348205
40.50137841331954;35.84564527975112
40.62881679664099;36.023420205180365
41.05317092111092;36.445190161842554
41.77093655531435;37.19630778742341
43.27320596753265;38.582421650603344
44.83157696248147;40.040517835181724
46.00376781265589;41.19685377643583
45.24623281299543;40.677875202523886
45.96549864625245;41.385508843182336
48.68884186072401;43.752022524106295
50.338407294626755;45.2282878492525
49.562519023310564;44.5936792908256
49.18872330813416;44.34068063135718
46.89278624846216;42.44771841020864
52.0277064152468;46.84188872240547
59.038396945801686;52.90381389685778
58.70537061273926;52.679520057450944
61.00026321410573;54.67129309620016
62.881889028951875;56.3152843590718
63.52314717473821;56.923072636278974
81.29182079404413;72.23800838152256
68.29653866616664;61.077818052781005
69.16159753400535;61.8481000292437
70.8790130952758;63.32820667516962
68.84642397756338;61.57517729030778
71.75441421612423;64.05584962691822
72.1738999899707;64.42483297585385
90.3075583112966;80.01486026316118
75.14891453787247;66.96354931135585
74.26555260813417;66.1931578273398
75.21725758358096;66.98652425331689
97.59229917747844;86.11896485025841
70.62448967635987;62.95262736769547
65.62155514484117;58.66225136519263
86.6024672144538;76.34437755551296
61.115390478243526;54.70582145526779
75.58733062305545;66.69829706557756
60.680046783514264;54.04427199748469
72.65611615694219;64.03221283585383
69.07218422872899;60.88047234130624
53.56081077125276;47.910201643357844
45.50128182266876;41.47474714635135
63.26507008775558;55.79437766094033
46.9884014492918;42.4214009520619
43.66188443882877;39.8006409315305
44.0299852889492;40.07649652471464
47.146502226408565;42.37734569031586
43.6753227145557;39.61379692267095
50.49111753828619;45.0238454460459
46.45476006095331;41.89903456597139
50.83563795322874;45.53539360616811
53.78242223763658;48.08076333263063
60.39514493136801;53.72116418412274
68.07102777975625;60.349674044311506
75.08489885902044;66.44472021897217
84.23002859103968;74.31873042929767
90.39659150180998;79.60033581916451
93.46578838872637;82.26133604486667
95.23328738923567;83.74908719682043
96.27858153111221;84.60157521573367
96.80388473596543;85.01646460079506
95.83934941554813;84.1054603353294
93.26299963177622;81.83238447819707
89.77601569997645;78.70066010553559
85.51356380808303;74.95094889874298
82.32347812424783;72.17248873681508
80.26773184419073;70.40257505669125
78.81640125402272;69.15136092545015
78.52291590668601;68.95394985437349
102.44734305598551;92.61300558138879
100.66752768985904;91.03466113407157
97.81759536326172;88.50417975070322
94.72083557157606;85.76848459820974
91.92693203124121;83.2899173810522
88.50105103418566;80.2572179511431
85.11323163097235;77.25975912436533
82.4091718743196;74.86383830709393
79.0874579518517;71.92739236092514
