P_demand;cms_toggle;P_Load;P_house;P_control
0.0;0;4.174615384615385;4.017461538461538;-0.1571538461538466
0.0;0;3.869230769230769;4.0;0.1307692307692312
0.0;0;3.5781538461538465;3.7701538461538537;0.19200000000000725
0.0;0;3.296769230769231;4.0;0.7032307692307689
0.0;0;3.0247692307692304;4.0;0.9752307692307696
0.0;0;2.7766153846153845;4.0;1.2233846153846155
0.0;0;2.5572307692307694;4.0;1.4427692307692306
0.0;0;2.3807692307692307;4.0;1.6192307692307693
0.0;0;2.2566153846153845;4.0;1.7433846153846155
0.0;0;2.1707692307692312;4.0;1.8292307692307688
0.0;0;2.108769230769231;4.0;1.891230769230769
0.0;0;2.0658461538461537;4.0;1.9341538461538463
0.0;0;2.0229230769230773;4.0;1.9770769230769227
0.0;0;1.98;4.0;2.02
0.0;0;1.9418461538461536;4.0;2.0581538461538464
0.0;0;1.9083076923076925;4.0;2.0916923076923073
0.0;0;1.8749230769230767;4.0;2.1250769230769233
0.0;0;1.8510769230769233;4.0;2.1489230769230767
0.0;0;1.8367692307692307;4.0;2.3198533164507693
0.0;0;1.8272307692307692;4.0;2.4496132631292307
0.0;0;1.8272307692307692;4.0;2.4515105779692306
0.0;0;1.832;4.0;2.64022858514
0.0;0;1.846307692307692;4.0;2.6381131745923083
0.0;0;1.8653846153846156;4.0;2.5706511450553844
0.0;0;1.8940000000000001;4.0;2.64641888304
0.0;0;1.9275384615384616;4.0;2.9684001492615386
0.0;0;1.9704615384615385;4.0;3.0763355733384614
0.0;0;2.0229230769230773;4.0;2.6298806736769227
0.0;0;2.099230769230769;4.0;2.4934892655892313
0.0;0;2.223230769230769;4.0;2.745039379969231
0.0;0;2.438;4.0;2.99529677
0.0;0;2.781384615384616;4.0;3.4740122424153843
0.0;0;3.2729230769230773;4.0;2.7085951180769228
0.0;0;3.8787692307692314;4.0;1.6779029364307685
0.0;0;4.542000000000002;4.0;2.1515735439999983
0.0;0;5.2003076923076925;4.0;1.6325140658923072
0.0;0;5.815692307692308;4.0;1.611818762307692
0.0;0;6.378769230769231;4.0;1.5905211656307685
0.0;0;6.889230769230768;4.143312508563077;-1.2898125770676918
0.0;0;7.347230769230769;4.0;0.9317086783692314
0.0;0;7.757538461538461;4.0;1.1143464314615388
0.0;0;8.134461538461537;4.0;1.003707216738464
0.0;0;8.492307692307692;4.0;1.321800919692308
0.0;0;8.854769230769232;4.0;0.6318924538307673
0.0;0;9.222153846153846;4.0;0.8163451958461545
0.0;0;9.570461538461537;4.2319057722461535;-2.0871519502153832
0.0;0;9.856769230769233;4.0;0.41113700923076735
0.0;0;10.047538461538462;4.0;0.6085669684615382
0.0;0;10.10476923076923;4.0;0.43797100523076965
-0.12188682474642869;1;10.028461538461539;7.675690827589752;-0.10969814227178581
0.0;0;9.823384615384617;4.0;1.179874760615384
0.0;0;9.489384615384617;4.0;1.9212569826153825
