MV_Line 1-2 (with CMS);MV_Line 2-3 (with CMS)
57.23993726194122;50.211901316207594
56.29540027869615;49.33236535582119
55.863455170084684;48.92962525721058
55.39246080457681;48.49435970107837
55.60482496174909;48.702060058007746
55.3869686606027;48.50090671494905
54.82296631153596;47.96921473786821
54.13130244308465;47.314979647160804
53.526788502247435;46.742884764122024
53.42427111365862;46.645248644132245
53.36890837092433;46.59253832187373
52.89356417787724;46.142516747803676
52.59354072744231;45.85695261426413
52.3332767897378;45.60951225594194
52.01298882100935;45.30537398139251
52.03144532050643;45.32288474537777
51.49204395609104;44.81078210125908
52.11866112935015;45.40631203222689
52.554186254175846;45.82109521413553
53.419453930225814;46.6471918800519
54.30978274414278;47.4998100375012
56.16624444282788;49.28523862613116
57.76802816169927;50.83284125947832
59.45724208178247;52.47099223873235
61.238707588774645;54.20440729792557
49.1230227983849;43.95542895868461
63.521976793751456;56.417266353293435
64.11476482196011;56.99670197367901
64.82308325139464;57.689684394322235
65.1529181699476;57.99475765668032
65.87462344136063;58.68248797497617
66.55334587272158;59.307078573967786
67.04322756365619;59.743923170768895
68.11369181515794;60.72177429271375
69.36647938449524;61.8451404532894
70.19236499147556;62.56994226090883
71.12928455136229;63.39748963663169
72.35169375828444;64.49724918407122
73.73167603878392;65.70262539462883
73.29591435027409;65.36520182988814
75.08860437709531;66.93085004523276
75.73871893768435;67.49375366943909
75.79384289037802;67.51355535225316
75.88738164293135;67.5873281684174
76.66658545162908;68.25752908309147
78.97126422247861;70.24856015008567
77.42164429941997;69.29122246790568
77.95776877437599;69.33128361992658
78.07639657805863;69.42301457595667
80.77211377123352;70.03595528193524
75.95433912508938;67.44699457340452
74.32044119690777;65.9466546851545
74.15530522909296;65.70494722411782
71.28618337105962;63.16382869315875
70.02126256372716;61.97624120765345
67.47114048418558;59.67288391582828
67.21199156104862;59.413800701514155
65.80172718595881;58.11416942409694
56.512210710012255;50.31580097602881
63.59627661733618;56.12370954276259
62.97695723927729;55.55170950568984
62.61846615832304;55.22671663783403
61.806166799360895;54.470160892664545
61.95048861195338;54.60731090473717
61.293934748214184;53.9979684976819
60.834336514030085;53.57494982329882
61.15163044977704;53.87664066352441
62.30295397294439;54.95822164850755
63.607653961101626;56.186882345153286
64.95189062142359;57.434693179183704
66.53179440023926;58.905626818563064
68.20087458911716;60.46014305212118
70.12717968828214;62.20269292132329
71.37599425155304;63.27884945092096
71.83291664414025;63.62904135085412
73.67581491893093;64.55638260788477
72.57734325381465;64.50913408362577
72.0117740370442;64.42782713478097
72.2498798221681;64.89030300534483
71.09214269426799;63.59564712986813
71.33843928411994;62.996822640542646
71.25765583404929;61.55358401770697
69.33961442837145;59.99698805174265
68.22349314310677;59.1873336031675
98.1708553900811;88.5202677779253
66.41657498858368;58.58698907589669
94.99089870170297;84.0614123323843
87.52450441753534;80.9054677176931
91.60655358453388;89.88259225110548
76.09488072172086;72.94414667192717
91.71759675732959;86.89374886224029
85.86239263300615;79.37347024733164
91.94226525071016;84.26021148478291
85.25413061152113;77.98375110490399
86.6902323489681;79.4973144260127
81.53538784051527;74.35165541221951
