HomeModel-0.Smart_Home_1;HomeModel-0.Smart_Home_1;HomeModel-0.Smart_Home_1;HomeModel-0.Smart_Home_1;HomeModel-0.Smart_Home_2;HomeModel-0.Smart_Home_2;HomeModel-0.Smart_Home_2;HomeModel-0.Smart_Home_2
e_max_flex;e_min_flex;p_max_flex;p_min_flex;e_max_flex;e_min_flex;p_max_flex;p_min_flex
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
49.302;-8.698;35.2;-13.2;69.77459999999999;-8.2254;57.2;-13.2
